City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
90,mathathane,BW,-22.2687,28.7495,76.75,63,95,12.03,overcast clouds
91,flinders,AU,-34.5833,150.8552,79.38,71,45,8.01,scattered clouds
92,tessalit,ML,20.1986,1.0114,65.08,15,31,8.81,scattered clouds
93,vetlanda,SE,57.4289,15.0776,33.75,83,99,11.86,light snow
94,iquique,CL,-20.2208,-70.1431,73.44,77,18,8.59,few clouds
95,brae,GB,60.3964,-1.353,40.53,60,100,22.06,overcast clouds
96,narsaq,GL,60.9167,-46.05,8.82,68,100,9.42,overcast clouds
97,cidreira,BR,-30.1811,-50.2056,74.16,83,47,12.97,scattered clouds
98,mahibadhoo,MV,3.7833,72.9667,79.68,78,84,10.83,broken clouds
99,asekeyevo,RU,53.5742,52.7972,-3.86,92,10,4.21,clear sky
100,hatta,IN,24.1167,79.6,46.29,49,3,5.61,clear sky
101,bambous virieux,MU,-20.3428,57.7575,78.22,85,91,19.51,light rain
102,liverpool,GB,53.4106,-2.9779,36.43,93,75,10.36,light shower sleet
103,tuatapere,NZ,-46.1333,167.6833,67.24,56,11,6.55,few clouds
104,kahului,US,20.8947,-156.47,83.97,68,20,7.0,few clouds
105,bangui,CF,4.3612,18.555,76.68,32,91,1.34,overcast clouds
106,ornskoldsvik,SE,63.2909,18.7153,31.15,100,100,10.36,light snow
107,kapaa,US,22.0752,-159.319,82.47,67,0,10.36,clear sky
108,huarmey,PE,-10.0681,-78.1522,72.0,74,69,8.99,broken clouds
